"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Oct 17 14:47:42 GMT 2024","Thu Oct 17 14:47:49 GMT 2024","6407","","tests.SteamTest","","tests.SteamTest","testqwe","testqwe(String, String) Для локали = Español - España (испанский) должен отображаться текст в ссылке Магазин = TIENDA",""
"passed","Thu Oct 17 14:48:01 GMT 2024","Thu Oct 17 14:48:03 GMT 2024","2669","","tests.SteamTest","","tests.SteamTest","checkNameSupportFields1","Тест на проверку наименований пунктов поддержки. Используется степовый подход.",""
"failed","Thu Oct 17 14:47:49 GMT 2024","Thu Oct 17 14:47:55 GMT 2024","5789","","tests.SteamTest","","tests.SteamTest","testqwe","testqwe(String, String) Для локали = English (inglés) должен отображаться текст в ссылке Магазин = STORE",""
"passed","Thu Oct 17 14:48:03 GMT 2024","Thu Oct 17 14:48:06 GMT 2024","2438","","tests.SteamTest","","tests.SteamTest","checkNameSupportFields2","checkNameSupportFields2()",""
"passed","Thu Oct 17 14:47:58 GMT 2024","Thu Oct 17 14:48:01 GMT 2024","3147","","tests.SteamTest","","tests.SteamTest","testqwe","testqwe(String, String) Для локали = Русский (Russisch) должен отображаться текст в ссылке Магазин = МАГАЗИН",""
"passed","Thu Oct 17 14:48:06 GMT 2024","Thu Oct 17 14:48:09 GMT 2024","2979","","tests.SteamTest","","tests.SteamTest","negativeAuthorizationWithInvalidLogin","negativeAuthorizationWithInvalidLogin()",""
"failed","Thu Oct 17 14:47:33 GMT 2024","Thu Oct 17 14:47:42 GMT 2024","8899","","tests.SteamTest","","tests.SteamTest","checkVisibleCuratorIconAndTextByShopPage","checkVisibleCuratorIconAndTextByShopPage()",""
"passed","Thu Oct 17 14:47:55 GMT 2024","Thu Oct 17 14:47:58 GMT 2024","3001","","tests.SteamTest","","tests.SteamTest","testqwe","testqwe(String, String) Для локали = Deutsch (German) должен отображаться текст в ссылке Магазин = SHOP",""
