"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Oct 17 14:03:05 GMT 2024","Thu Oct 17 14:03:13 GMT 2024","8162","","tests.SteamTest","","tests.SteamTest","checkVisibleCuratorIconAndTextByShopPage","checkVisibleCuratorIconAndTextByShopPage()",""
"passed","Thu Oct 17 14:03:39 GMT 2024","Thu Oct 17 14:03:42 GMT 2024","3135","","tests.SteamTest","","tests.SteamTest","negativeAuthorizationWithInvalidLogin","negativeAuthorizationWithInvalidLogin()",""
"failed","Thu Oct 17 14:03:14 GMT 2024","Thu Oct 17 14:03:20 GMT 2024","6167","","tests.SteamTest","","tests.SteamTest","testqwe","testqwe(String, String) Для локали = Español - España (испанский) должен отображаться текст в ссылке Магазин = TIENDA",""
"passed","Thu Oct 17 14:03:26 GMT 2024","Thu Oct 17 14:03:30 GMT 2024","4126","","tests.SteamTest","","tests.SteamTest","testqwe","testqwe(String, String) Для локали = Deutsch (German) должен отображаться текст в ссылке Магазин = SHOP",""
"passed","Thu Oct 17 14:03:36 GMT 2024","Thu Oct 17 14:03:39 GMT 2024","2383","","tests.SteamTest","","tests.SteamTest","checkNameSupportFields2","checkNameSupportFields2()",""
"failed","Thu Oct 17 14:03:20 GMT 2024","Thu Oct 17 14:03:26 GMT 2024","6003","","tests.SteamTest","","tests.SteamTest","testqwe","testqwe(String, String) Для локали = English (inglés) должен отображаться текст в ссылке Магазин = STORE",""
"passed","Thu Oct 17 14:03:34 GMT 2024","Thu Oct 17 14:03:36 GMT 2024","2651","","tests.SteamTest","","tests.SteamTest","checkNameSupportFields1","Тест на проверку наименований пунктов поддержки. Используется степовый подход.",""
"passed","Thu Oct 17 14:03:30 GMT 2024","Thu Oct 17 14:03:34 GMT 2024","3868","","tests.SteamTest","","tests.SteamTest","testqwe","testqwe(String, String) Для локали = Русский (Russisch) должен отображаться текст в ссылке Магазин = МАГАЗИН",""
