"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 18 14:17:57 GMT 2024","Fri Oct 18 14:18:00 GMT 2024","3539","","tests.SteamTest","","tests.SteamTest","testqwe","testqwe(String, String) Для локали = english должен отображаться текст в ссылке Магазин = STORE",""
"failed","Fri Oct 18 14:17:41 GMT 2024","Fri Oct 18 14:17:54 GMT 2024","13186","","tests.SteamTest","","tests.SteamTest","checkVisibleCuratorIconAndTextByShopPage","checkVisibleCuratorIconAndTextByShopPage()",""
"passed","Fri Oct 18 14:18:13 GMT 2024","Fri Oct 18 14:18:16 GMT 2024","2383","","tests.SteamTest","","tests.SteamTest","negativeAuthorizationWithInvalidLogin","negativeAuthorizationWithInvalidLogin()",""
"passed","Fri Oct 18 14:18:12 GMT 2024","Fri Oct 18 14:18:13 GMT 2024","1598","","tests.SteamTest","","tests.SteamTest","checkNameSupportFields2","checkNameSupportFields2()",""
"passed","Fri Oct 18 14:18:04 GMT 2024","Fri Oct 18 14:18:09 GMT 2024","4406","","tests.SteamTest","","tests.SteamTest","testqwe","testqwe(String, String) Для локали = turkish должен отображаться текст в ссылке Магазин = MAĞAZA",""
"passed","Fri Oct 18 14:18:00 GMT 2024","Fri Oct 18 14:18:04 GMT 2024","3735","","tests.SteamTest","","tests.SteamTest","testqwe","testqwe(String, String) Для локали = german должен отображаться текст в ссылке Магазин = SHOP",""
"passed","Fri Oct 18 14:18:09 GMT 2024","Fri Oct 18 14:18:12 GMT 2024","2990","","tests.SteamTest","","tests.SteamTest","checkNameSupportFields1","Тест на проверку наименований пунктов поддержки. Используется степовый подход.",""
"passed","Fri Oct 18 14:17:54 GMT 2024","Fri Oct 18 14:17:57 GMT 2024","2921","","tests.SteamTest","","tests.SteamTest","testqwe","testqwe(String, String) Для локали = spanish должен отображаться текст в ссылке Магазин = TIENDA",""
