"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 18 12:52:00 GMT 2024","Fri Oct 18 12:52:04 GMT 2024","3807","","tests.SteamTest","","tests.SteamTest","testqwe","testqwe(String, String) Для локали = turkish должен отображаться текст в ссылке Магазин = MAĞAZA",""
"passed","Fri Oct 18 12:52:04 GMT 2024","Fri Oct 18 12:52:07 GMT 2024","2962","","tests.SteamTest","","tests.SteamTest","checkNameSupportFields1","Тест на проверку наименований пунктов поддержки. Используется степовый подход.",""
"passed","Fri Oct 18 12:51:50 GMT 2024","Fri Oct 18 12:51:54 GMT 2024","3321","","tests.SteamTest","","tests.SteamTest","testqwe","testqwe(String, String) Для локали = english должен отображаться текст в ссылке Магазин = STORE",""
"passed","Fri Oct 18 12:52:07 GMT 2024","Fri Oct 18 12:52:09 GMT 2024","1747","","tests.SteamTest","","tests.SteamTest","checkNameSupportFields2","checkNameSupportFields2()",""
"passed","Fri Oct 18 12:51:54 GMT 2024","Fri Oct 18 12:52:00 GMT 2024","6766","","tests.SteamTest","","tests.SteamTest","testqwe","testqwe(String, String) Для локали = german должен отображаться текст в ссылке Магазин = SHOP",""
"passed","Fri Oct 18 12:51:47 GMT 2024","Fri Oct 18 12:51:50 GMT 2024","3112","","tests.SteamTest","","tests.SteamTest","testqwe","testqwe(String, String) Для локали = spanish должен отображаться текст в ссылке Магазин = TIENDA",""
"failed","Fri Oct 18 12:51:37 GMT 2024","Fri Oct 18 12:51:47 GMT 2024","9928","","tests.SteamTest","","tests.SteamTest","checkVisibleCuratorIconAndTextByShopPage","checkVisibleCuratorIconAndTextByShopPage()",""
"passed","Fri Oct 18 12:52:09 GMT 2024","Fri Oct 18 12:52:12 GMT 2024","2532","","tests.SteamTest","","tests.SteamTest","negativeAuthorizationWithInvalidLogin","negativeAuthorizationWithInvalidLogin()",""
