"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Oct 17 20:57:22 GMT 2024","Thu Oct 17 20:57:28 GMT 2024","6936","","tests.SteamTest","","tests.SteamTest","testqwe","testqwe(String, String) Для локали = Español - España (испанский) должен отображаться текст в ссылке Магазин = TIENDA",""
"passed","Thu Oct 17 20:57:47 GMT 2024","Thu Oct 17 20:57:57 GMT 2024","9642","","tests.SteamTest","","tests.SteamTest","checkNameSupportFields1","Тест на проверку наименований пунктов поддержки. Используется степовый подход.",""
"failed","Thu Oct 17 20:57:57 GMT 2024","Thu Oct 17 20:58:04 GMT 2024","6994","","tests.SteamTest","","tests.SteamTest","checkNameSupportFields2","checkNameSupportFields2()",""
"failed","Thu Oct 17 20:57:12 GMT 2024","Thu Oct 17 20:57:21 GMT 2024","9318","","tests.SteamTest","","tests.SteamTest","checkVisibleCuratorIconAndTextByShopPage","checkVisibleCuratorIconAndTextByShopPage()",""
"failed","Thu Oct 17 20:58:04 GMT 2024","Thu Oct 17 20:58:12 GMT 2024","7921","","tests.SteamTest","","tests.SteamTest","negativeAuthorizationWithInvalidLogin","negativeAuthorizationWithInvalidLogin()",""
"passed","Thu Oct 17 20:57:28 GMT 2024","Thu Oct 17 20:57:32 GMT 2024","3181","","tests.SteamTest","","tests.SteamTest","testqwe","testqwe(String, String) Для локали = English (inglés) должен отображаться текст в ссылке Магазин = STORE",""
"failed","Thu Oct 17 20:57:39 GMT 2024","Thu Oct 17 20:57:47 GMT 2024","8739","","tests.SteamTest","","tests.SteamTest","testqwe","testqwe(String, String) Для локали = Русский (Russisch) должен отображаться текст в ссылке Магазин = МАГАЗИН",""
"failed","Thu Oct 17 20:57:32 GMT 2024","Thu Oct 17 20:57:39 GMT 2024","6872","","tests.SteamTest","","tests.SteamTest","testqwe","testqwe(String, String) Для локали = Deutsch (German) должен отображаться текст в ссылке Магазин = SHOP",""
