"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 29 06:41:55 GMT 2024","Tue Oct 29 06:41:57 GMT 2024","1779","","tests.SteamTest","","tests.SteamTest","checkNameSupportFields2","checkNameSupportFields2()",""
"passed","Tue Oct 29 06:41:34 GMT 2024","Tue Oct 29 06:41:47 GMT 2024","13517","","tests.SteamTest","","tests.SteamTest","testqwe","testqwe(String, String) Для локали = turkish должен отображаться текст в ссылке Магазин = MAĞAZA",""
"passed","Tue Oct 29 06:41:07 GMT 2024","Tue Oct 29 06:41:21 GMT 2024","13524","","tests.SteamTest","","tests.SteamTest","testqwe","testqwe(String, String) Для локали = english должен отображаться текст в ссылке Магазин = STORE",""
"passed","Tue Oct 29 06:41:47 GMT 2024","Tue Oct 29 06:41:55 GMT 2024","7593","","tests.SteamTest","","tests.SteamTest","checkNameSupportFields1","Тест на проверку наименований пунктов поддержки. Используется степовый подход.",""
"passed","Tue Oct 29 06:40:51 GMT 2024","Tue Oct 29 06:41:07 GMT 2024","16088","","tests.SteamTest","","tests.SteamTest","testqwe","testqwe(String, String) Для локали = spanish должен отображаться текст в ссылке Магазин = TIENDA",""
"passed","Tue Oct 29 06:41:21 GMT 2024","Tue Oct 29 06:41:34 GMT 2024","13357","","tests.SteamTest","","tests.SteamTest","testqwe","testqwe(String, String) Для локали = german должен отображаться текст в ссылке Магазин = SHOP",""
