"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 17 13:42:15 GMT 2024","Thu Oct 17 13:42:18 GMT 2024","2921","","tests.SteamTest","","tests.SteamTest","testqwe","testqwe(String, String) Для локали = Русский (Russisch) должен отображаться текст в ссылке Магазин = МАГАЗИН",""
"failed","Thu Oct 17 13:42:06 GMT 2024","Thu Oct 17 13:42:12 GMT 2024","5670","","tests.SteamTest","","tests.SteamTest","testqwe","testqwe(String, String) Для локали = English (inglés) должен отображаться текст в ссылке Магазин = STORE",""
"passed","Thu Oct 17 13:42:18 GMT 2024","Thu Oct 17 13:42:21 GMT 2024","3112","","tests.SteamTest","","tests.SteamTest","checkNameSupportFields1","Тест на проверку наименований пунктов поддержки. Используется степовый подход.",""
"failed","Thu Oct 17 13:42:00 GMT 2024","Thu Oct 17 13:42:06 GMT 2024","6259","","tests.SteamTest","","tests.SteamTest","testqwe","testqwe(String, String) Для локали = Español - España (испанский) должен отображаться текст в ссылке Магазин = TIENDA",""
"passed","Thu Oct 17 13:42:24 GMT 2024","Thu Oct 17 13:42:28 GMT 2024","4077","","tests.SteamTest","","tests.SteamTest","negativeAuthorizationWithInvalidLogin","negativeAuthorizationWithInvalidLogin()",""
"failed","Thu Oct 17 13:41:51 GMT 2024","Thu Oct 17 13:42:00 GMT 2024","8647","","tests.SteamTest","","tests.SteamTest","checkVisibleCuratorIconAndTextByShopPage","checkVisibleCuratorIconAndTextByShopPage()",""
"passed","Thu Oct 17 13:42:21 GMT 2024","Thu Oct 17 13:42:24 GMT 2024","2440","","tests.SteamTest","","tests.SteamTest","checkNameSupportFields2","checkNameSupportFields2()",""
"passed","Thu Oct 17 13:42:12 GMT 2024","Thu Oct 17 13:42:15 GMT 2024","3300","","tests.SteamTest","","tests.SteamTest","testqwe","testqwe(String, String) Для локали = Deutsch (German) должен отображаться текст в ссылке Магазин = SHOP",""
