"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 21 11:08:12 GMT 2024","Mon Oct 21 11:08:16 GMT 2024","3983","","tests.SteamTest","","tests.SteamTest","negativeAuthorizationWithInvalidLogin","negativeAuthorizationWithInvalidLogin()",""
"passed","Mon Oct 21 11:08:10 GMT 2024","Mon Oct 21 11:08:12 GMT 2024","1981","","tests.SteamTest","","tests.SteamTest","checkNameSupportFields2","checkNameSupportFields2()",""
"passed","Mon Oct 21 11:07:50 GMT 2024","Mon Oct 21 11:07:54 GMT 2024","4132","","tests.SteamTest","","tests.SteamTest","testqwe","testqwe(String, String) Для локали = english должен отображаться текст в ссылке Магазин = STORE",""
"passed","Mon Oct 21 11:07:54 GMT 2024","Mon Oct 21 11:08:00 GMT 2024","5115","","tests.SteamTest","","tests.SteamTest","testqwe","testqwe(String, String) Для локали = german должен отображаться текст в ссылке Магазин = SHOP",""
"passed","Mon Oct 21 11:08:06 GMT 2024","Mon Oct 21 11:08:10 GMT 2024","4197","","tests.SteamTest","","tests.SteamTest","checkNameSupportFields1","Тест на проверку наименований пунктов поддержки. Используется степовый подход.",""
"passed","Mon Oct 21 11:07:41 GMT 2024","Mon Oct 21 11:07:50 GMT 2024","8924","","tests.SteamTest","","tests.SteamTest","testqwe","testqwe(String, String) Для локали = spanish должен отображаться текст в ссылке Магазин = TIENDA",""
"passed","Mon Oct 21 11:08:00 GMT 2024","Mon Oct 21 11:08:06 GMT 2024","6062","","tests.SteamTest","","tests.SteamTest","testqwe","testqwe(String, String) Для локали = turkish должен отображаться текст в ссылке Магазин = MAĞAZA",""
