"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Oct 17 13:47:50 GMT 2024","Thu Oct 17 13:47:56 GMT 2024","5934","","tests.SteamTest","","tests.SteamTest","testqwe","testqwe(String, String) Для локали = English (inglés) должен отображаться текст в ссылке Магазин = STORE",""
"passed","Thu Oct 17 13:48:03 GMT 2024","Thu Oct 17 13:48:06 GMT 2024","2709","","tests.SteamTest","","tests.SteamTest","checkNameSupportFields1","Тест на проверку наименований пунктов поддержки. Используется степовый подход.",""
"failed","Thu Oct 17 13:47:35 GMT 2024","Thu Oct 17 13:47:44 GMT 2024","8895","","tests.SteamTest","","tests.SteamTest","checkVisibleCuratorIconAndTextByShopPage","checkVisibleCuratorIconAndTextByShopPage()",""
"failed","Thu Oct 17 13:47:44 GMT 2024","Thu Oct 17 13:47:50 GMT 2024","6009","","tests.SteamTest","","tests.SteamTest","testqwe","testqwe(String, String) Для локали = Español - España (испанский) должен отображаться текст в ссылке Магазин = TIENDA",""
"passed","Thu Oct 17 13:48:00 GMT 2024","Thu Oct 17 13:48:03 GMT 2024","3484","","tests.SteamTest","","tests.SteamTest","testqwe","testqwe(String, String) Для локали = Русский (Russisch) должен отображаться текст в ссылке Магазин = МАГАЗИН",""
"passed","Thu Oct 17 13:48:08 GMT 2024","Thu Oct 17 13:48:12 GMT 2024","3212","","tests.SteamTest","","tests.SteamTest","negativeAuthorizationWithInvalidLogin","negativeAuthorizationWithInvalidLogin()",""
"passed","Thu Oct 17 13:47:56 GMT 2024","Thu Oct 17 13:48:00 GMT 2024","3429","","tests.SteamTest","","tests.SteamTest","testqwe","testqwe(String, String) Для локали = Deutsch (German) должен отображаться текст в ссылке Магазин = SHOP",""
"passed","Thu Oct 17 13:48:06 GMT 2024","Thu Oct 17 13:48:08 GMT 2024","2519","","tests.SteamTest","","tests.SteamTest","checkNameSupportFields2","checkNameSupportFields2()",""
