"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 18 14:28:00 GMT 2024","Fri Oct 18 14:28:02 GMT 2024","1677","","tests.SteamTest","","tests.SteamTest","checkNameSupportFields2","checkNameSupportFields2()",""
"passed","Fri Oct 18 14:27:57 GMT 2024","Fri Oct 18 14:28:00 GMT 2024","3166","","tests.SteamTest","","tests.SteamTest","checkNameSupportFields1","Тест на проверку наименований пунктов поддержки. Используется степовый подход.",""
"passed","Fri Oct 18 14:28:02 GMT 2024","Fri Oct 18 14:28:05 GMT 2024","2904","","tests.SteamTest","","tests.SteamTest","negativeAuthorizationWithInvalidLogin","negativeAuthorizationWithInvalidLogin()",""
"failed","Fri Oct 18 14:27:27 GMT 2024","Fri Oct 18 14:27:38 GMT 2024","10524","","tests.SteamTest","","tests.SteamTest","checkVisibleCuratorIconAndTextByShopPage","checkVisibleCuratorIconAndTextByShopPage()",""
"passed","Fri Oct 18 14:27:47 GMT 2024","Fri Oct 18 14:27:53 GMT 2024","6331","","tests.SteamTest","","tests.SteamTest","testqwe","testqwe(String, String) Для локали = german должен отображаться текст в ссылке Магазин = SHOP",""
"passed","Fri Oct 18 14:27:53 GMT 2024","Fri Oct 18 14:27:57 GMT 2024","4211","","tests.SteamTest","","tests.SteamTest","testqwe","testqwe(String, String) Для локали = turkish должен отображаться текст в ссылке Магазин = MAĞAZA",""
"passed","Fri Oct 18 14:27:38 GMT 2024","Fri Oct 18 14:27:41 GMT 2024","2932","","tests.SteamTest","","tests.SteamTest","testqwe","testqwe(String, String) Для локали = spanish должен отображаться текст в ссылке Магазин = TIENDA",""
"passed","Fri Oct 18 14:27:41 GMT 2024","Fri Oct 18 14:27:47 GMT 2024","5608","","tests.SteamTest","","tests.SteamTest","testqwe","testqwe(String, String) Для локали = english должен отображаться текст в ссылке Магазин = STORE",""
