"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 18 14:08:04 GMT 2024","Fri Oct 18 14:08:08 GMT 2024","4136","","tests.SteamTest","","tests.SteamTest","testqwe","testqwe(String, String) Для локали = english должен отображаться текст в ссылке Магазин = STORE",""
"failed","Fri Oct 18 14:07:52 GMT 2024","Fri Oct 18 14:08:01 GMT 2024","9348","","tests.SteamTest","","tests.SteamTest","checkVisibleCuratorIconAndTextByShopPage","checkVisibleCuratorIconAndTextByShopPage()",""
"passed","Fri Oct 18 14:08:12 GMT 2024","Fri Oct 18 14:08:18 GMT 2024","6211","","tests.SteamTest","","tests.SteamTest","testqwe","testqwe(String, String) Для локали = turkish должен отображаться текст в ссылке Магазин = MAĞAZA",""
"passed","Fri Oct 18 14:08:24 GMT 2024","Fri Oct 18 14:08:27 GMT 2024","3037","","tests.SteamTest","","tests.SteamTest","negativeAuthorizationWithInvalidLogin","negativeAuthorizationWithInvalidLogin()",""
"passed","Fri Oct 18 14:08:22 GMT 2024","Fri Oct 18 14:08:24 GMT 2024","1978","","tests.SteamTest","","tests.SteamTest","checkNameSupportFields2","checkNameSupportFields2()",""
"passed","Fri Oct 18 14:08:08 GMT 2024","Fri Oct 18 14:08:12 GMT 2024","3700","","tests.SteamTest","","tests.SteamTest","testqwe","testqwe(String, String) Для локали = german должен отображаться текст в ссылке Магазин = SHOP",""
"passed","Fri Oct 18 14:08:18 GMT 2024","Fri Oct 18 14:08:22 GMT 2024","3339","","tests.SteamTest","","tests.SteamTest","checkNameSupportFields1","Тест на проверку наименований пунктов поддержки. Используется степовый подход.",""
"passed","Fri Oct 18 14:08:01 GMT 2024","Fri Oct 18 14:08:04 GMT 2024","2946","","tests.SteamTest","","tests.SteamTest","testqwe","testqwe(String, String) Для локали = spanish должен отображаться текст в ссылке Магазин = TIENDA",""
