"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 24 06:33:16 GMT 2024","Thu Oct 24 06:33:21 GMT 2024","4686","","tests.SteamTest","","tests.SteamTest","testqwe","testqwe(String, String) Для локали = english должен отображаться текст в ссылке Магазин = STORE",""
"passed","Thu Oct 24 06:33:07 GMT 2024","Thu Oct 24 06:33:16 GMT 2024","9075","","tests.SteamTest","","tests.SteamTest","testqwe","testqwe(String, String) Для локали = spanish должен отображаться текст в ссылке Магазин = TIENDA",""
"passed","Thu Oct 24 06:33:21 GMT 2024","Thu Oct 24 06:33:24 GMT 2024","3325","","tests.SteamTest","","tests.SteamTest","testqwe","testqwe(String, String) Для локали = german должен отображаться текст в ссылке Магазин = SHOP",""
"passed","Thu Oct 24 06:33:32 GMT 2024","Thu Oct 24 06:33:34 GMT 2024","2251","","tests.SteamTest","","tests.SteamTest","negativeAuthorizationWithInvalidLogin","negativeAuthorizationWithInvalidLogin()",""
"passed","Thu Oct 24 06:33:31 GMT 2024","Thu Oct 24 06:33:32 GMT 2024","1398","","tests.SteamTest","","tests.SteamTest","checkNameSupportFields2","checkNameSupportFields2()",""
"passed","Thu Oct 24 06:33:28 GMT 2024","Thu Oct 24 06:33:31 GMT 2024","2799","","tests.SteamTest","","tests.SteamTest","checkNameSupportFields1","Тест на проверку наименований пунктов поддержки. Используется степовый подход.",""
"passed","Thu Oct 24 06:33:24 GMT 2024","Thu Oct 24 06:33:28 GMT 2024","3551","","tests.SteamTest","","tests.SteamTest","testqwe","testqwe(String, String) Для локали = turkish должен отображаться текст в ссылке Магазин = MAĞAZA",""
