"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 18 12:25:00 GMT 2024","Fri Oct 18 12:25:01 GMT 2024","1518","","tests.SteamTest","","tests.SteamTest","checkNameSupportFields2","checkNameSupportFields2()",""
"passed","Fri Oct 18 12:24:42 GMT 2024","Fri Oct 18 12:24:45 GMT 2024","3383","","tests.SteamTest","","tests.SteamTest","testqwe","testqwe(String, String) Для локали = english должен отображаться текст в ссылке Магазин = STORE",""
"failed","Fri Oct 18 12:24:29 GMT 2024","Fri Oct 18 12:24:39 GMT 2024","10004","","tests.SteamTest","","tests.SteamTest","checkVisibleCuratorIconAndTextByShopPage","checkVisibleCuratorIconAndTextByShopPage()",""
"passed","Fri Oct 18 12:24:45 GMT 2024","Fri Oct 18 12:24:54 GMT 2024","8575","","tests.SteamTest","","tests.SteamTest","testqwe","testqwe(String, String) Для локали = german должен отображаться текст в ссылке Магазин = SHOP",""
"passed","Fri Oct 18 12:24:39 GMT 2024","Fri Oct 18 12:24:42 GMT 2024","2373","","tests.SteamTest","","tests.SteamTest","testqwe","testqwe(String, String) Для локали = spanish должен отображаться текст в ссылке Магазин = TIENDA",""
"passed","Fri Oct 18 12:24:54 GMT 2024","Fri Oct 18 12:24:57 GMT 2024","3770","","tests.SteamTest","","tests.SteamTest","testqwe","testqwe(String, String) Для локали = turkish должен отображаться текст в ссылке Магазин = MAĞAZA",""
"passed","Fri Oct 18 12:25:01 GMT 2024","Fri Oct 18 12:25:04 GMT 2024","2410","","tests.SteamTest","","tests.SteamTest","negativeAuthorizationWithInvalidLogin","negativeAuthorizationWithInvalidLogin()",""
"passed","Fri Oct 18 12:24:57 GMT 2024","Fri Oct 18 12:25:00 GMT 2024","2524","","tests.SteamTest","","tests.SteamTest","checkNameSupportFields1","Тест на проверку наименований пунктов поддержки. Используется степовый подход.",""
