"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Oct 17 20:22:41 GMT 2024","Thu Oct 17 20:22:51 GMT 2024","10044","","tests.SteamTest","","tests.SteamTest","testqwe","testqwe(String, String) Для локали = English (inglés) должен отображаться текст в ссылке Магазин = STORE",""
"failed","Thu Oct 17 20:22:34 GMT 2024","Thu Oct 17 20:22:41 GMT 2024","6559","","tests.SteamTest","","tests.SteamTest","testqwe","testqwe(String, String) Для локали = Español - España (испанский) должен отображаться текст в ссылке Магазин = TIENDA",""
"failed","Thu Oct 17 20:23:24 GMT 2024","Thu Oct 17 20:23:34 GMT 2024","10372","","tests.SteamTest","","tests.SteamTest","checkNameSupportFields2","checkNameSupportFields2()",""
"failed","Thu Oct 17 20:22:51 GMT 2024","Thu Oct 17 20:23:02 GMT 2024","11193","","tests.SteamTest","","tests.SteamTest","testqwe","testqwe(String, String) Для локали = Deutsch (German) должен отображаться текст в ссылке Магазин = SHOP",""
"failed","Thu Oct 17 20:23:34 GMT 2024","Thu Oct 17 20:23:41 GMT 2024","6889","","tests.SteamTest","","tests.SteamTest","negativeAuthorizationWithInvalidLogin","negativeAuthorizationWithInvalidLogin()",""
"failed","Thu Oct 17 20:23:12 GMT 2024","Thu Oct 17 20:23:24 GMT 2024","11547","","tests.SteamTest","","tests.SteamTest","checkNameSupportFields1","Тест на проверку наименований пунктов поддержки. Используется степовый подход.",""
"failed","Thu Oct 17 20:22:21 GMT 2024","Thu Oct 17 20:22:34 GMT 2024","12981","","tests.SteamTest","","tests.SteamTest","checkVisibleCuratorIconAndTextByShopPage","checkVisibleCuratorIconAndTextByShopPage()",""
"failed","Thu Oct 17 20:23:02 GMT 2024","Thu Oct 17 20:23:12 GMT 2024","10027","","tests.SteamTest","","tests.SteamTest","testqwe","testqwe(String, String) Для локали = Русский (Russisch) должен отображаться текст в ссылке Магазин = МАГАЗИН",""
