"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Oct 18 12:11:03 GMT 2024","Fri Oct 18 12:11:14 GMT 2024","10461","","tests.SteamTest","","tests.SteamTest","checkVisibleCuratorIconAndTextByShopPage","checkVisibleCuratorIconAndTextByShopPage()",""
"passed","Fri Oct 18 12:11:36 GMT 2024","Fri Oct 18 12:11:39 GMT 2024","2919","","tests.SteamTest","","tests.SteamTest","negativeAuthorizationWithInvalidLogin","negativeAuthorizationWithInvalidLogin()",""
"passed","Fri Oct 18 12:11:14 GMT 2024","Fri Oct 18 12:11:17 GMT 2024","3612","","tests.SteamTest","","tests.SteamTest","testqwe","testqwe(String, String) Для локали = spanish должен отображаться текст в ссылке Магазин = TIENDA",""
"passed","Fri Oct 18 12:11:31 GMT 2024","Fri Oct 18 12:11:34 GMT 2024","3368","","tests.SteamTest","","tests.SteamTest","checkNameSupportFields1","Тест на проверку наименований пунктов поддержки. Используется степовый подход.",""
"passed","Fri Oct 18 12:11:17 GMT 2024","Fri Oct 18 12:11:22 GMT 2024","4899","","tests.SteamTest","","tests.SteamTest","testqwe","testqwe(String, String) Для локали = english должен отображаться текст в ссылке Магазин = STORE",""
"passed","Fri Oct 18 12:11:22 GMT 2024","Fri Oct 18 12:11:27 GMT 2024","4435","","tests.SteamTest","","tests.SteamTest","testqwe","testqwe(String, String) Для локали = german должен отображаться текст в ссылке Магазин = SHOP",""
"passed","Fri Oct 18 12:11:34 GMT 2024","Fri Oct 18 12:11:36 GMT 2024","1758","","tests.SteamTest","","tests.SteamTest","checkNameSupportFields2","checkNameSupportFields2()",""
"passed","Fri Oct 18 12:11:27 GMT 2024","Fri Oct 18 12:11:31 GMT 2024","4339","","tests.SteamTest","","tests.SteamTest","testqwe","testqwe(String, String) Для локали = turkish должен отображаться текст в ссылке Магазин = MAĞAZA",""
